timestamp;word
2019-10-23 12:11:40;Quando nasci, um anjo torto
2019-10-23 12:12:40;desses que vivem na sombra
2019-10-23 12:12:55;disse: Vai, Carlos! ser gauche na vida.

2019-10-23 12:13:14;As casas espiam os homens
2019-10-23 12:13:18;que correm atrás de mulheres.
2019-10-23 12:14:40;A tarde talvez fosse azul,
2019-10-23 12:14:55;não houvesse tantos desejos.

2019-10-23 12:15:40;O bonde passa cheio de pernas:
2019-10-23 12:16:40;pernas brancas pretas amarelas.
2019-10-23 12:16:45;Para que tanta perna, meu Deus,
2019-10-23 12:17:10;pergunta meu coração.
2019-10-23 12:17:25;Porém meus olhos
2019-10-23 12:17:35;não perguntam nada.

2019-10-23 12:18:14;O homem atrás do bigode
2019-10-23 12:18:34;é sério, simples e forte.
2019-10-23 12:18:40;Quase não conversa.
2019-10-23 12:19:10;Tem poucos, raros amigos
2019-10-23 12:19:40;o homem atrás dos óculos e do bigode.

2019-10-23 12:20:40;Meu Deus, por que me abandonaste
2019-10-23 12:21:18;se sabias que eu não era Deus
2019-10-23 12:21:35;se sabias que eu era fraco.

2019-10-23 12:22:10;Mundo mundo vasto mundo,
2019-10-23 12:22:40;se eu me chamasse Raimundo
2019-10-23 12:23:40;seria uma rima, não seria uma solução.
2019-10-23 12:24:40;Mundo mundo vasto mundo,
2019-10-23 12:24:58;mais vasto é meu coração.

2019-10-23 12:25:40;Eu não devia te dizer
2019-10-23 12:26:40;mas essa lua
2019-10-23 12:27:19;mas esse conhaque
2019-10-23 12:27:40;botam a gente comovido como o diabo.
